track_name,artist_name,genre,energy,length,popularity
señorita,shawn mendes,canadian pop,55,191,79
china,anuel aa,reggaeton flow,81,302,92
boyfriend (with social house),ariana grande,dance pop,80,186,85
beautiful people (feat_ khalid),ed sheeran,pop,65,198,86
goodbyes (feat_ young thug),post malone,dfw rap,65,175,94
i don't care (with justin bieber),ed sheeran,pop,68,220,84
ransom,lil tecca,trap music,64,131,92
how do you sleep?,sam smith,pop,68,202,90
old town road - remix,lil nas x,country rap,62,157,87
bad guy,billie eilish,electropop,43,194,95
callaita,bad bunny,reggaeton,62,251,93
loco contigo (feat_ j_ balvin & tyga),dj snake,dance pop,71,185,86
someone you loved,lewis capaldi,pop,41,182,88
otro trago - remix,sech,panamanian pop,79,288,87
money in the grave (drake ft_ rick ross),drake,canadian hip hop,50,205,92
no guidance (feat_ drake),chris brown,dance pop,45,261,82
la canción,j balvin,latin,65,243,90
sunflower - spider-man: into the spider-verse,post malone,dfw rap,48,158,91
lalala,y2k,canadian hip hop,39,161,88
truth hurts,lizzo,escape room,62,173,91
piece of your heart,meduza,pop house,74,153,91
panini,lil nas x,country rap,59,115,91
no me conoce - remix,jhay cortez,reggaeton flow,79,309,83
soltera - remix,lunay,latin,78,266,91
bad guy (with justin bieber),billie eilish,electropop,45,195,89
if i can't have you,shawn mendes,canadian pop,82,191,70
dance monkey,tones and i,australian pop,59,210,83
it's you,ali gatie,canadian hip hop,46,213,89
con calma,daddy yankee,latin,86,193,91
que pretendes,j balvin,latin,79,222,89
takeaway,the chainsmokers,edm,51,210,84
7 rings,ariana grande,dance pop,32,179,89
0_958333333333333,maluma,reggaeton,71,176,89
the london (feat_ j_ cole & travis scott),young thug,atl hip hop,59,200,89
never really over,katy perry,dance pop,88,224,89
summer days (feat_ macklemore & patrick stump of fall out boy),martin garrix,big room,72,164,89
otro trago,sech,panamanian pop,70,226,91
antisocial (with travis scott),ed sheeran,pop,82,162,87
sucker,jonas brothers,boy band,73,181,80
"fuck, i'm lonely (with anne-marie) - from 13 reasons why: season 3",lauv,dance pop,56,199,78
higher love,kygo,edm,68,228,88
you need to calm down,taylor swift,dance pop,68,171,90
shallow,lady gaga,dance pop,39,216,87
talk,khalid,pop,40,198,84
con altura,rosalía,r&b en espanol,69,162,88
one thing right,marshmello,brostep,62,182,88
te robaré,nicky jam,latin,75,202,88
happier,marshmello,brostep,79,214,88
call you mine,the chainsmokers,edm,70,218,88
cross me (feat_ chance the rapper & pnb rock),ed sheeran,pop,79,206,82
